BIB_ID, TITLE,AUTHOR,CALL_NUM,HOLDINGS_LOC,BARCODE,ENUM,CHRON,ITEM_LOC
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894656,Box 122
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894664,Box 123
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894672,Box 124
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894680,Box 125
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894699,Box 126
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894702,Box 127
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894710,Box 128
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00894729,Box 129
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895610,Box 130
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895628,Box 131
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895636,Box 132
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895644,Box 133
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895652,Box 134
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895660,Box 135
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895679,Box 136
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895687,Box 137
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895695,Box 138
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895709,Box 139
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895717,Box 140
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895725,Box 141
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895733,Box 142
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895741,Box 143
284746,"Amos Vogel papers, ","Vogel, Amos, 1921- ",MS#1432,"off,rbms",RS00895750,Box 144
